Gene	JK_A2_1_ERCC_S26	JK_A2_2_ERCC_S27	JK_A2_3_ERCC_S28	JK_A2_4_ERCC_S29	JK_A2_5_ERCC_S30	JK_A2_6_ERCC_S31	JK_S1_2_ERCC_S22	JK_S1_3_ERCC_S23	JK_S2_2_ERCC_S24	JK_S2_3_ERCC_S25
DRG1	71.42571945131262	67.23985665568253	70.7886311755137	68.74117835502351	68.13607563045892	66.55899117621104	42.519423185784824	41.61977313445541	56.05836034622277	53.386952030486675
PDAP1	43.00244195622272	43.30695741083498	43.51407771544214	42.64535226998674	44.48284695027399	42.25791931042657	33.4129793749411	34.39562266046322	40.832660411884156	40.71764906873408
REXO4	25.302002783097386	24.79532886900263	25.20472515491495	24.307873220463847	24.842279137068097	24.063787616458907	16.529202445709824	17.28877249114548	19.05001376758369	19.534421580442746
AC099568.2	1.1912749781673049	1.8762404146800649	1.9171416190429096	1.6426448197682357	1.1527377534071372	1.6172945084539092	3.332488938954759	2.9266048640240925	2.202583862141598	1.8717756558580234
PABPC3	2.2407482551149114	1.6466767559589606	1.8904596214744631	2.296610350618003	2.3949428634505017	1.7380616923281906	2.8036395723506304	2.5272245402786533	2.06436763402071	1.821417479135841
LYSMD1	10.275405280360419	9.91011298473524	10.726114483539192	10.23291571521072	10.487605661403201	9.873804650945875	13.170234515040537	13.4536833261826	9.477779242126413	9.298488053305098
NOMO1	22.63021100026343	22.254378743382873	23.3768035174902	22.64357293631729	22.841306772691443	22.780122824297614	16.462858593548127	17.947706166804622	19.304775596619628	18.045371910863317
FANCM	4.876359081854386	5.016580583735738	4.7386740882508	4.591201817222628	4.180277401403723	4.720717565284186	5.857052206807341	4.633041473828944	5.250657330538195	6.0200777825135
CHI3L2	235.50649217959423	227.91724417662033	231.76970119681332	238.36204861159408	250.45257207429268	241.90344765488848	1054.604714411279	1092.1718748202895	732.3320317289777	715.9119519085581
POP7	42.993152892612876	43.324532030432316	44.95806737107693	44.36795122315379	46.164462953206495	44.8711347181991	24.159891378218287	25.24208650306009	34.26646206895519	33.19660528863639
EID2B	1.2941123545873388	1.2713364733441765	1.4578478437947993	1.565819759574341	1.5384765880927251	1.4089297900504518	6.019821592165998	6.668845738126829	2.5497742704682245	2.4723711550288736
HUNK	9.274154123741246	9.197298488577893	9.281786230476952	9.740406706591365	9.916612267561181	9.652102286400826	5.513757713526894	5.679400223319902	5.952735576886941	5.741659763934333
TMEM132D	1.3157908835869925	1.341874557826781	1.4056521238780837	1.2962946128567614	1.273225623720475	1.2514467763466444	1.3087329557601193	1.4113421434896591	1.2071298723307802	1.1498416664768105
RPL11P3	3.0341826841944504	3.394469832682137	3.149160687430932	4.254735950350852	3.1275083008508653	3.0962722587067666	5.461756090836304	5.5095341727923275	4.034447056669367	3.7182036963413356
PRKACA	32.81228275657906	33.76406433298896	34.675171354518675	35.920206856601745	38.7030308511092	36.69729919631359	33.864741865004675	34.71867638207003	32.53865434989858	32.48484875361387
ABCD1	4.43792409191881	4.714490945338548	4.7563136337347345	4.815035874143129	5.354301656635206	5.010735823539068	3.4824312617509197	4.076943106178743	4.555637789309391	4.35707874091095
SH3D21	2.357008974546506	2.7557053214542875	2.624134116679244	3.3615074460943117	3.1379155273909953	3.440863517258483	6.349244333864003	7.610662091002392	6.276829923723729	5.892174979471109
AADAT	8.350911132445287	8.686264726768892	8.07672829370738	8.728909393484049	8.278578299052258	8.721207336171231	5.009594853862805	4.8024772872839785	7.355174939043413	7.700995337553968
AC008946.1	1.6934560177233164	1.0822088990034258	1.6703520110491963	1.746537690328882	2.061556928351838	1.6743318283703963	4.309412161162201	4.328067416931908	3.6360944992598823	2.8032862137834975
AL365295.1	2.6291273695407176	2.5579757288262464	2.4859522571152644	2.6887134305120726	2.299947719601856	2.419895979396825	6.210683613393296	6.6547029384997405	5.350762369050058	5.265357818614448
ABCF2	10.018224042028189	9.352839330033529	9.43478077658116	9.595824848138603	9.563867737901248	9.607653278619024	3.035580639408683	2.9267036314611503	5.4926194562190505	5.741298710900075
GALNT2	69.6394372780122	72.40129993771473	73.3953711202466	67.27150384368088	69.09859351134918	68.6195717143229	94.59638664739161	98.99907961445076	93.82088539275505	92.10139583141495
DENND10P1	1.0621101573099818	0.7932736455621764	0.8318467778645151	1.179575194374149	0.9660862765559355	0.8211715980241575	1.4499268120585693	1.2959452256688513	1.2483190225208378	0.9414249226399827
PILRB	1.6725982016692462	1.8042884273936803	1.703635628736507	2.155420664600414	1.8208016786771828	1.89415655328822	1.492525540898955	1.596166214077326	1.513989548010806	1.540201811134594
FKRP	4.416252580997845	4.555224345870434	4.296847750683976	4.821849685106934	4.467485404806739	4.764191573221598	1.4711735348116997	1.6315519437028023	2.8867606126192813	2.8780360300701213
CREBRF	1.1916025694265506	1.1614355220571473	1.1515529874390267	1.0772001839977905	0.9527722849339334	0.9111647415258023	3.6229070523242837	3.2125233770988153	2.1542823229632653	2.1053029065363305
MERTK	2.5186242523175495	2.574647479525184	2.3845611119851284	2.9990671444938815	2.839946162442783	2.7984223114684204	3.6522952263095827	4.038859623234736	3.0061826479166593	3.3054728316146997
SEMA4A	3.0225429952448635	3.616988144547084	3.6282418174591404	4.401200852711211	3.991585089682436	4.280505442947717	10.85922308757685	12.638098124431526	6.430684460209355	6.674629651909024
