term	gene
H_BoneMarrow_Normal_MesenchymalStromalCell_29338788	ANPEP
H_BoneMarrow_Normal_MesenchymalStromalCell_29338788	BSG
H_BoneMarrow_Normal_MesenchymalStromalCell_29338788	CD151
H_BoneMarrow_Normal_MesenchymalStromalCell_29338788	CD276
H_BoneMarrow_Normal_MesenchymalStromalCell_29338788	ITGB1
H_BoneMarrow_Normal_MesenchymalStromalCell_29338788	CD44
H_BoneMarrow_Normal_MesenchymalStromalCell_29338788	CD47
H_BoneMarrow_Normal_MesenchymalStromalCell_29338788	CD59
H_BoneMarrow_Normal_MesenchymalStromalCell_29338788	NT5E
H_BoneMarrow_Normal_MesenchymalStromalCell_29338788	CD81
H_BoneMarrow_Normal_MesenchymalStromalCell_29338788	THY1
H_BoneMarrow_Normal_MesenchymalStromalCell_29338788	SLC3A2
H_BoneMarrow_Normal_MesenchymalStromalCell_29338788	HLA-ABC family
H_BoneMarrow_Normal_MesenchymalStromalCell_29338788	VIM
H_Pancreas_Normal_PancreaticStemCell_23978330	KIT
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	ITGAM
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	CD33
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	ENTPD1
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	ITGAM
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	ITGAX
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	CD14
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	CD1D
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	INSR
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	CD226
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	CD24
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	CD244
H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995	SIGLEC7
